Name (EIA ID),(EIA ID),Status,County,Fuel,MW,Load,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI
,,,,,,,,,,,,,,,,,
Northport GT 23,,Operating,Su↵olk,Oil,,,,,,,,,,,8%,12%,
,,,,,16,K,53,0.10%,2.2,23.9,1.9,28.7,7%,"25,768",,,80
-2516,,,,,,,,,,,,,,,-19,-20,
Oswego Harbor,,Operating,Oswego,Oil,,,,,,,,,,,12%,44%,
,,,,,1804,C,72,0.30%,21,11.8,0.9,2.2,0%,"23,694",,,148
Power* (2594),,,,,,,,,,,,,,,-25,-74,
Plant No 1,,Operating,Nassau,Oil,11,K,79,0.10%,NA,14.3,1.1,45.2,NA,"185,261",,,177
Freeport* (2678),,,,,,,,,,,,,,,-61,-34,
Plant No 2 Freeport,,Operating,Nassau,Natural,79,K,47,6.30%,8.8,10,0.6,0.2,5%,"136,266",50%,18%,170
-2679,,,,gas,,,,,,,,,,,-60,-32,
Port Je↵erson GT 24,,Operating,Su↵olk,Natural,122,K,54,6.00%,5.4,9.8,0.6,0.2,14%,"34,448",21%,14%,130
-2517,,,,gas,,,,,,,,,,,-38,-24,
Port Je↵erson ST 25,,Operating,Su↵olk,Natural,376,K,72,9.80%,106,10.7,0.7,0.8,14%,"34,448",21%,14%,130
-2517,,,,gas,,,,,,,,,,,-38,-24,
Pouch Terminal,,Operating,Richmond,Natural,47,J,19,14.80%,9.2,10,0.6,0.1,6%,"255,079",47%,32%,183
-8053,,,,gas,,,,,,,,,,,-59,-57,
Ravenswood GT* 26,,Operating;,Queens,Natural,458,J,53,0.20%,2.9,16.8,1,1.6,4%,"1,232,618",45%,26%,178
-2500,,proposed,,gas,,,,,,,,,,,-57,-48,
,,battery,,,,,,,,,,,,,,,
,,expansion,,,,,,,,,,,,,,,
Roseton Generating,,Operating,Orange,Natural,1242,G,46,3.70%,21.6,10.3,0.7,1.6,1%,"16,333",27%,16%,132
Facility (8006),,,,gas,,,,,,,,,,,-43,-28,
SA Carlson ST 27,,Operating,Chau-,Natural,49,A,69,8.20%,NA,NA,NA,NA,NA,"37,736",15%,49%,125
-2682,,,tauqua,gas,,,,,,,,,,,-30,-79,
Shoemaker (2632),,Operating,Orange,Natural,42,G,49,0.10%,2.8,20.3,1.2,15.1,0%,"40,982",61%,35%,171
,,,,gas,,,,,,,,,,,-65,-62,
Shoreham (2518),,Operating,Su↵olk,Oil,,,,,,,,,,,11%,12%,
,,,,,72,K,54,0.40%,NA,15.3,1.2,13.9,NA,"19,969",,,100
,,,,,,,,,,,,,,,-23,-20,
Shoreham Energy,,Operating,Su↵olk,Oil,,,,,,,,,,,10%,12%,
,,,,,100,K,18,0.70%,4.5,10.1,0.8,0.5,7%,"22,068",,,102
-55787,,,,,,,,,,,,,,,-23,-21,
South Cairo (2485),,Operating,Greene,Oil,22,G,50,0.07%,NA,17.1,1.4,11.2,NA,"4,801",16%,30%,84
,,,,,,,,,,,,,,,-31,-54,
Southampton,,Operating,Su↵olk,Oil,,,,,,,,,,,23%,21%,
,,,,,12,K,57,1.30%,NA,26.3,2.1,23.5,NA,"8,506",,,114
-2519,,,,,,,,,,,,,,,-39,-38,
Southold (2520),,Operating,Su↵olk,Oil,14,K,56,0.70%,NA,32.5,2.6,28.8,NA,"7,406",22%,24%,115
,,,,,,,,,,,,,,,-38,-44,
Vernon Boulevard,,Operating,Queens,Natural,94,J,19,7.10%,6.3,9.6,0.6,0.1,6%,"1,264,532",43%,25%,172
-7909,,,,gas,,,,,,,,,,,-56,-45,
Wading River,,Operating,Su↵olk,Oil,,,,,,,,,,,11%,13%,
,,,,,239,K,31,0.90%,4.6,13.1,1.1,3.8,6%,"22,954",,,110
-7146,,,,,,,,,,,,,,,-24,-23,
West Babylon,,Operating,Su↵olk,Oil,,,,,,,,,,,31%,17%,
,,,,,52,K,49,0.50%,3.2,14.5,1.2,8.2,1%,"130,952",,,155
-2521,,,,,,,,,,,,,,,-47,-31,
West Coxsackie,,Operating,Greene,Natural,22,G,51,0.30%,NA,13.9,0.8,4.7,NA,"7,478",34%,25%,125
-2487,,,,gas,,,,,,,,,,,-50,-45,
