Name (EIA ID),Status,County,Fuel,MW,Local_reliability_area,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CEW
Mira Loma Peaker -56473,Operating,San Bernardino,Natural gas,49,LA Basin,12,6.50%,4.1,9.8,0.58,0.1,26%,91,95%,5%,95*
Miramar Energy,Operating,San Diego,,,San,,,,,,,,,,,
,,,Natural,95,,14,13.40%,5.1,9.8,0.58,0.2,11%,"58,049",74%,10%,79*
Facility 1 & 2,,,gas,,Diego,,,,,,,,,,,
-56232,,,,,,,,,,,,,,,,
Niland Gas Turbine,Operating,Imperial,Natural,121,NA,7,6.90%,7.3,9.6,0.57,0.06,22%,"1,412",65%,28%,6716
Plant (56569),,,gas,,,,,,,,,,,,,
Oakland Power,Retiring;,Alameda,,,Greater,,,,,,,,,,,
,,,Jet fuel,224,,42,0.20%,NA,15.5,0.2,7.4,NA,"196,253",69%,20%,7217
Plant (6211),solar +,,,,Bay,,,,,,,,,,,
,storage re-,,,,Area,,,,,,,,,,,
,placement,,,,,,,,,,,,,,,
OLS Energy,Operating,Santa,,,Greater,,,,,,,,,,,
,,,Natural,32,,29,6.30%,NA,9.8,NA,NA,NA,"101,340",83%,9%,61
Agnews (50748),,Clara,gas,,Bay,,,,,,,,,,,
,,,,,Area,,,,,,,,,,,
Orange Grove,Operating,San Diego,,,San,,,,,,,,,,,
,,,Natural,100,,9,4.80%,4.4,10.4,0.62,0.2,15%,"2,303",69%,13%,20
Energy (56914),,,gas,,Diego,,,,,,,,,,,
,,,,,Big,,,,,,,,,,,
Ormond Beach,Operating;,Ventura,Natural,"1,613",Creek/,48,1.30%,42.4,11.4,0.68,0.09,44%,"59,074",87%,19%,83*
Generating Station,retirement,,gas,,Ventura,,,,,,,,,,,
-350,proposed;,,,,,,,,,,,,,,,
,RMR,,,,,,,,,,,,,,,
Panoche Energy,Operating,Fresno,Natural,400,NA,10,15%,6.1,9,0.54,0.1,40%,93,95%,25%,95*
Center (56803),,,gas,,,,,,,,,,,,,
Pio Pico Energy,Operating,San Diego,,,San,,,,,,,,,,,
,,,Natural,300,,3,4.90%,4.3,9.5,0.57,0.12,10%,"7,689",72%,3%,56
Center (57555),,,gas,,Diego,,,,,,,,,,,
Red Bluﬀ (56184),Operating,Tehama,Natural,44,NA,19,5.10%,NA,10.5,NA,NA,NA,"16,462",28%,24%,59
,,,gas,,,,,,,,,,,,,
Redondo Beach,Operating;,Los,,,LA,,,,,,,,,,,
,,,Natural,"1,310",,65,3.30%,74,12.4,0.74,0.5,66%,"16,462",68%,24%,59
-356,retirement,Angeles,gas,,Basin,,,,,,,,,,,
,proposed,,,,,,,,,,,,,,,
Riverside Energy,Operating,Riverside,,,LA,,,,,,,,,,,
,,,Natural,192,,13,5.30%,4.4,10.1,0.6,0.1,50%,"115,673",70%,18%,84*
Resource Center,,,gas,,Basin,,,,,,,,,,,
-56143,,,,,,,,,,,,,,,,
Riverview Energy,Operating,Contra,,,Greater,,,,,,,,,,,
,,,Natural,47,,16,4.70%,4.3,11.1,0.66,0.2,7%,"62,292",59%,15%,74
Center (55963),,Costa,gas,,Bay,,,,,,,,,,,
,,,,,Area,,,,,,,,,,,
Rockwood (7824),Operating,Imperial,Natural,50,NA,40,0.40%,NA,14.5,NA,NA,NA,"25,231",85%,29%,81*
,,,gas,,,,,,,,,,,,,
Roseville (7452),Operating,Placer,Natural,50,NA,33,0.40%,NA,15.7,NA,NA,NA,"48,094",29%,7%,21
,,,gas,,,,,,,,,,,,,
Sentinel Energy,Operating,Riverside,,,LA,,,,,,,,,,,
,,,Natural,800,,6,7.90%,5.9,9.6,0.57,0.1,17%,"2,478",61%,26%,32
Project (57482),,,gas,,Basin,,,,,,,,,,,
Springs Generation,Operating,Riverside,,,LA,,,,,,,,,,,
,,,Natural,40,,17,0.20%,NA,13.7,NA,NA,NA,"86,301",69%,18%,67
Project (56144),,,gas,,Basin,,,,,,,,,,,
Stanton Energy,Proposed,Orange,Natural,98,NA,NA,NA,NA,NA,NA,NA,NA,"276,662",73%,17%,87*
Reliability Center18,,,gas,,,,,,,,,,,,,
-60698,,,,,,,,,,,,,,,,
Sutter Energy,Operating,Sutter,Natural,578,NA,18,4.30%,51.2,6.7,0.4,0.07,30%,915,57%,19%,54
Center (55112),,,gas,,,,,,,,,,,,,
Vernon (inc. H.,Operating,Los,,,LA,,,,,,,,,,,
,,,Natural,12,,33,2.10%,NA,13.5,NA,NA,NA,"368,664",98%,31%,99*19
Gonzales) (56039),,Angeles,gas,,Basin,,,,,,,,,,,
Walnut (4256),Operating,Stanislaus,Natural,48,NA,33,0.10%,NA,11.9,NA,NA,NA,"22,055",59%,23%,97*
,,,gas,,,,,,,,,,,,,
Walnut Creek,Operating,Los,,,LA,,,,,,,,,,,
,,,Natural,500,,7,9.50%,6.5,9,0.54,0.1,38%,"167,639",91%,13%,86*
Energy Park,,Angeles,gas,,Basin,,,,,,,,,,,
-57515,,,,,,,,,,,,,,,,
Wellhead Power,Operating,Fresno,Natural,50,Greater,18,2.50%,NA,16,NA,NA,NA,90,95%,25%,95*
Panoche (55874),,,gas,,Fresno,,,,,,,,,,,
Wolfskill Energy,Operating,Solano,Natural,48,NA,17,3.40%,4.2,11.2,0.67,0.2,9%,"30,608",65%,17%,73
Center (55855),,,gas,,,,,,,,,,,,,
Yuba City Energy,Operating,Sutter,Natural,48,Sierra,17,7.90%,NA,11.7,NA,NA,NA,"72,282",50%,19%,67
Center (55813),,,gas,,,,,,,,,,,,,
