Name (EIA ID),Status,County,Fuel,MW,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI,,
Leon Creek,Operating,Bexar,Natural,,,,,,,,,,94%,61%,,,
,,,,229.6,16,6.40%,7.3,10.7,0.6,0.2,2.50%,"73,083",,,219,,
-3609,,,gas,,,,,,,,,,-86,-81,,,
Lone Star,Operating,Morris,Natural,40,66,1.60%,36.3,13.1,0.8,1.2,0.00%,"2,127",30%,40%,85,,
-3477,,,gas,,,,,,,,,,-23,-57,,,
,,,,,,,,,,,,,,,,,
Morgan Creek,Operating,Mitchell,Natural,536.4,32,0.10%,2.4,15.9,0.9,10.7,6.50%,435,23%,17%,50,,
-3492,,,gas,,,,,,,,,,-16,-22,,,
Mountain Creek,Operating,Dallas,Natural,852.2,75,5.10%,33.2,11.5,0.7,0.6,4.70%,"49,011",91%,58%,204,,
-3453,,,gas,,,,,,,,,,-82,-79,,,
Mustang,Operating,Yoakum,Natural,510,14,12.40%,23,11.5,0.7,0.3,5.60%,561,56%,17%,83,,
Station Unit 4,,,gas,,,,,,,,,,-49,-22,,,
-56326,,,,,,,,,,,,,,,,,
Newgulf,Operating,Wharton,Natural,,,,,,,,,,51%,33%,,,
,,,,101.9,36,1.40%,5.3,13.3,0.8,3.5,2.60%,919,,,159,,
-50137,,,gas,,,,,,,,,,-44,-47,,,
Newman (gas,Proposed,El Paso,Natural,226,NA,NA,NA,NA,NA,NA,NA,"3,152",75%,30%,137,,
turbine unit) 19,expansion,,gas,,,,,,,,,,-65,-43,,,
-3456,,,,,,,,,,,,,,,,,
O.W. Sommers,Operating,Bexar,Natural,892,48,8.00%,29.6,11.7,0.7,1.6,2.40%,"2,817",47%,56%,175,,
-3611,,,gas,,,,,,,,,,-41,-76,,,
Pearsall (3630),Operating,Frio,Natural,201.6,11,13.00%,NA,9.5,0.6,24.9,NA,"10,645",86%,57%,103,,
,,,gas,,,,,,,,,,-76,-77,,,
Permian Basin,Operating,Ward,Natural,447,32,1.00%,5.2,14,0.8,5.7,5.30%,"1,205",40%,22%,83,,
-3494,,,gas,,,,,,,,,,-34,-31,,,
Port Comfort,Operating,Calhoun,Natural,100,3,3.60%,4.5,13.6,0.8,1.5,1.80%,771,47%,38%,135,,
Power (60459),,,gas,,,,,,,,,,-41,-55,,,
Powerlane,Operating,Hunt,Natural,,,,,,,,,,55%,68%,,,
,,,,87,54,0.80%,6.3,18.9,1.1,1.8,5.70%,"10,381",,,125,,
Plant 20(4195),,,gas,,,,,,,,,,-48,-87,,,
Powerlane Plant,Operating,Hunt,Natural,25.2,10,7.20%,NA,10.4,0.6,0.7,NA,"10,381",55%,68%,125,,
(internal,,,gas,,,,,,,,,,-48,-87,,,
combustion,,,,,,,,,,,,,,,,,
unit) 21(4195),,,,,,,,,,,,,,,,,
R.W. Miller,Operating,Palo Pinto,Natural,,,,,,,,,,,29%,,,
,,,,237.6,26,3.20%,7.9,13.7,0.8,1.1,5.40%,694,7% (2),,115,,
(gas turbine,,,gas,,,,,,,,,,,-41,,,
unit) 22(3628),,,,,,,,,,,,,,,,,
R.W. Miller,Operating,Palo Pinto,Natural,366,52,6.80%,14.3,11.2,0.7,1.7,4.50%,694,7% (2),29%,115,,
(steam turbine,,,gas,,,,,,,,,,,-41,,,
unit) 23(3628),,,,,,,,,,,,,,,,,
Ray Olinger,Operating,Collin,Natural,,,,,,,,,,30%,30%,,,
,,,,82.7,19,0.90%,5.1,12.1,0.7,0.4,22.60%,"3,414",,,141,,
(gas turbine,,,gas,,,,,,,,,,-23,-43,,,
unit) 24(3576),,,,,,,,,,,,,,,,,
Ray Olinger,Operating,Collin,Natural,,,,,,,,,,30%,30%,,,
,,,,345,53,1.30%,12.7,11.6,0.7,0.6,18.70%,"3,414",,,141,,
(steam turbine,,,gas,,,,,,,,,,-23,-43,,,
unit) 25(3576),,,,,,,,,,,,,,,,,
Red Gate Power,Operating,Hidalgo,Natural,224.4,4,10.30%,NA,9.1,0.5,24.4,NA,585,,59%,177,,
Plant (59391),,,gas,,,,,,,,,,93%(86),-80,,,
Sam Rayburn,Operating,Victoria,Natural,22.4,57,0.20%,NA,79.7,4.7,0.5,NA,"1,571",14%,15%,125,,
(gas turbine,,,gas,,,,,,,,,,-7,-20,,,
unit) 26(3631),,,,,,,,,,,,,,,,,
Sam Rayburn,Operating,Victoria,Oil,,,,,,,,,,14%,15%,,,
,,,,3.2,29,0.90%,NA,10.5,0.8,0.8,NA,"1,571",,,125,,
(internal,,,,,,,,,,,,,-7,-20,,,
combustion,,,,,,,,,,,,,,,,,
