Name (EIA ID),Status,County,Fuel,MW,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI
(gas turbine,,,,,,,,,,,,,,,
unit) 29(6584),,,,,,,,,,,,,,,
Stock Island,Operating,Monroe,Oil,,,,,,,,,,44%,35%,
,,,,22,55,0.10%,NA,9.9,0.8,0.5,NA,"20,257",,,145
(internal,,,,,,,,,,,,,,,
combustion,,,,,,,,,,,,,,,
unit) 30(6584),,,,,,,,,,,,,,,
Sub12,Proposed,Leon,Natural,19,NA,NA,NA,NA,NA,NA,NA,"98,815",53%,61%,185
Reliability,,,gas,,,,,,,,,,,,
Project (61080),,,,,,,,,,,,,,,
Tom G Smith,Operating,Palm,Oil,,,,,,,,,,,,
(gas turbine,,Beach,,31,44,0.10%,16,38.3,1.8,42,0%,"107,992",60%,50%,190
unit) 31(673),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tom G Smith,Operating,Palm,Oil,10,55,0.00%,NA,NA,NA,NA,NA,"107,992",60%,50%,190
(internal,,Beach,,,,,,,,,,,,,
combustion,,,,,,,,,,,,,,,
unit) 32(673),,,,,,,,,,,,,,,
Tom G Smith,Operating,Palm,Oil,27,59,1.20%,9.8,16.5,1,4.1,0%,"107,992",,,190
(steam turbine,,Beach,,,,,,,,,,,,,
unit) 34(673),,,,,,,,,,,,,,,
Winston (7997),Operating,Polk,Oil,50,19,0%,NA,NA,NA,NA,NA,"26,193",40%,51%,215
